county,rate,num1,num2,num3
Sierra,62.095,16.92,216.245,31.045
Plumas,40.1625,17.82,78.735,13.9575
Lassen,34.4425,17.94,60.0425,9.87
Modoc,30.9375,8.43,88.725,15.465
Lake,27.8,16.5,43.92,6.545
Tuolumne,25.37,15.3825,41.2675,5.78
Siskiyou,17.8,8.8225,34.1425,5.4275
Humboldt,17.0325,10.985,25.3875,3.4575
Amador,15.84,7.0925,33.4375,5.475
Calaveras,15.3975,7.53,30.615,4.855
Shasta,13.5375,8.9725,19.865,2.61
San Francisco,13.03,10.6575,15.7675,1.2675
Mariposa,10.955,2.985,38.145,5.475
San Joaquin,10.765,8.4875,13.48,1.2325
Santa Cruz,10.255,6.9175,14.7725,1.8925
Mendocino,10.25,5.515,18.76,2.85
Sonoma,9.695,7.1425,12.8725,1.405
Marin,9.49,6.0875,14.1125,1.935
San Luis Obispo,9.2625,6.0225,13.6475,1.84
Ventura,8.3575,6.5075,10.5775,1.005
Fresno,7.8275,6.155,9.8225,0.905
Butte,7.7325,4.6675,12.2225,1.79
El Dorado,7.73,4.3775,12.8275,1.9875
San Diego,7.7,6.755,8.74,0.4975
Sutter,7.385,3.455,14.815,2.4025
Madera,7.2775,3.6825,12.98,2.17
Orange,7.225,6.3,8.2425,0.4875
San Benito,7.2,2.535,17.9675,3.0725
Mono,7.02,1.9125,37.39,3.51
Del Norte,7.0,1.91,24.38,3.5
Kings,6.5675,3.2325,12.0,2.03
Sacramento,6.2575,5.0325,7.695,0.66
Inyo,5.4025,1.4725,28.7775,2.7
Riverside,5.2675,4.36,6.3125,0.4875
California,5.11,4.885,5.345,0.12
Kern,5.11,3.7075,6.87,0.775
Solano,4.83,2.955,7.455,1.0775
Monterey,4.32,2.5775,6.8175,1.01
Nevada,4.05,1.75,9.845,1.43
Merced,3.8925,2.1275,6.9425,1.0475
Napa,3.655,1.7625,8.06,1.15
Glenn,3.5575,0.97,18.9475,1.7775
Yolo,3.4825,1.47,7.11,1.2775
San Bernardino,3.1825,2.4675,4.045,0.39
Contra Costa,3.135,2.165,4.395,0.545
Stanislaus,2.9125,1.69,4.745,0.72
Placer,2.855,1.42,5.2075,0.8775
Los Angeles,2.5025,2.2,2.8375,0.1625
Tulare,2.4825,1.2975,4.3925,0.72
Alameda,2.4425,1.7275,3.3625,0.4
Santa Clara,2.4025,1.7525,3.2325,0.3625
San Mateo,2.36,1.4125,3.745,0.555
Santa Barbara,2.36,1.135,4.325,0.745
Imperial,1.7175,0.65,4.775,0.69
Yuba,1.3825,0.3775,7.3625,0.69
Alpine,0.0,0.0,318.28,0.0
Colusa,0.0,0.0,17.2,0.0
Tehama,0.0,0.0,5.8,0.0
Trinity,0.0,0.0,26.8,0.0
Unknown,,0.0,,
